HI91,pc_counter,sys_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,yaw,pps_sync_stamp,incli_x,incli_y,quat_w,quat_x,quat_y,quat_z,temperature,pressure,acc_norm,gyr_norm,mag_norm
HI91,95522,10752,-0.001016235445,0.002462768462,0.9982910752,-0.007803903893,0.03614750504,0.01681671292,-10.68333435,-3.291666746,-35.33333588,0.01542536356,0.1496898085,1.154075503,2.56,0.01542536356,0.1496898085,0.9999485016,0.00130489713,0.0001477641199,0.01007143222,32,103754.0391,0.9982946303,0.04062443686,37.05959157
HI91,95523,10762,-0.0001739502186,0.002059936523,0.9976593256,-0.03984618187,0.07429533452,0.03360138461,-11.12500095,-3.433333397,-35.875,0.01524504554,0.1496673971,1.15407598,2.57,0.01524504554,0.1496673971,0.9999485016,0.001304717618,0.0001461886131,0.01007143408,32,103754.0391,0.9976614674,0.09075553971,37.71695971
HI91,95524,10772,0.000347900379,0.002481079195,0.9974945784,-0.02000854164,0.04682782292,0.02139435522,-10.64166737,-2.666666746,-35.16666794,0.01517332718,0.1497269422,1.154076219,2.58,0.01517332718,0.1497269422,0.9999485016,0.001305243233,0.0001455680031,0.01007143501,32,103754.3203,0.9974977246,0.05523499954,36.83816947
HI91,95525,10782,9.155292901e-06,0.003012085101,0.9975494742,0.01351744216,0.0913233459,0.03973339126,-10.97500038,-3.391666889,-35.25,0.01609712839,0.1495158672,1.154378533,2.59,0.01609712839,0.1495158672,0.9999485016,0.001303320052,0.0001536143827,0.01007408462,32,103754.3203,0.9975540217,0.1005058064,37.07447286
HI91,95526,10792,-3.662105155e-05,0.003872680478,0.9969909787,0.002727694344,0.1087235883,0.01386467088,-11.12500095,-3.350000143,-35.375,0.01587806828,0.149675712,1.154379249,2.6,0.01587806828,0.149675712,0.9999483824,0.001304734265,0.0001517167984,0.01007408649,32,103754.3203,0.9969985008,0.1096379864,37.23410765
HI91,95527,10802,-0.0002471923654,0.003799438709,0.9976776242,0.00876666978,0.06636691839,0.01390740369,-11.33333397,-3.433333397,-35.79166794,0.01577772573,0.1496255547,1.154379606,2.61,0.01577772573,0.1496255547,0.9999483824,0.001304305275,0.0001508367423,0.01007408742,32,103754.3203,0.9976848895,0.06837278868,37.69981075
HI91,95528,10812,-0.0002014159836,0.003341675038,0.9980713129,0.03470769897,0.05415778607,0.02153680474,-10.97500038,-2.975000143,-34.83333588,0.01570465416,0.1498498023,1.154379725,2.62,0.01570465416,0.1498498023,0.9999483824,0.001306268503,0.0001502188097,0.01007408835,32,103754.3203,0.9980769274,0.06783453485,36.64236002
HI91,95529,10822,-1.831053123e-05,0.003240966704,0.998336792,0.04539018497,0.01906220801,0.009329772554,-10.68333435,-3.083333492,-35.16666794,0.01592366397,0.1497810781,1.154379129,2.63,0.01592366397,0.1497810781,0.9999483824,0.001305649523,0.0001521239465,0.01007408556,32,103754.3203,0.9983420528,0.05010669937,36.88272105
HI91,95530,10832,0.0006408690824,0.002920532133,0.9989867806,0.06980513781,-0.0358688198,0.001700376859,-10.72500038,-2.850000143,-35.16666794,0.01567671262,0.1498955935,1.154379725,2.64,0.01567671262,0.1498955935,0.9999483824,0.001306670369,0.0001499790087,0.01007408835,32,103754.1328,0.9989912553,0.07849981389,36.87604463
HI91,95531,10842,0.001757812453,0.003259277437,0.9987853169,0.03928910568,-0.04655169323,-0.02118780278,-10.54166698,-2.891666889,-35.33333588,0.01543089841,0.150191009,1.154380322,2.65,0.01543089841,0.150191009,0.9999483824,0.001309270156,0.0001478599297,0.01007409114,32,103754.1328,0.9987921817,0.06449509248,36.98557968
HI91,95532,10852,0.0008880614769,0.003131103702,0.9978058934,0.001144842827,-0.008407962508,-0.01355840079,-10.68333435,-3.125000238,-35.45833588,0.01540416479,0.1501221955,1.154380441,2.66,0.01540416479,0.1501221955,0.9999483824,0.001308672014,0.0001476205944,0.01007409114,32,103754.1328,0.9978112013,0.0159948345,37.16440289
HI91,95533,10862,-0.0001647949393,0.003341674572,0.9983093739,0.008775563911,-0.01756428368,0.003226270899,-10.45833397,-2.933333397,-35.16666794,0.01551405154,0.1502629966,1.154380083,2.67,0.01551405154,0.1502629966,0.9999483824,0.001309890999,0.000148591891,0.01007409021,32,103754.1328,0.9983149803,0.01989782418,36.80591974
HI91,95534,10872,-0.0003387451579,0.004156494047,0.9986847043,0.05455286428,-0.07096885145,0.02153681777,-10.58333397,-2.933333397,-35.29166794,0.0156504903,0.1503028423,1.154379725,2.68,0.0156504903,0.1503028423,0.9999483824,0.001310226624,0.0001497860067,0.01007408835,32,103754.1328,0.9986934113,0.09206751543,36.96096899
HI91,95535,10882,-6.408695481e-05,0.004550170619,0.9975676537,0.1018570364,-0.04960491136,0.02153681032,-10.45833397,-2.808333397,-35.375,0.01565076225,0.1505886018,1.154379725,2.69,0.01565076225,0.1505886018,0.9999483824,0.001312720357,0.0001498134952,0.01007408835,32,103754.1328,0.9975780329,0.1153227527,36.99532553
HI91,95536,10892,0.0003204345703,0.003634643741,0.9978973269,0.02251357026,0.0388962999,0.0001745047921,-10.41666698,-3.433333397,-35.29166794,0.01551548019,0.1505102813,1.154380083,2.7,0.01551548019,0.1505102813,0.9999483824,0.001312048873,0.000148626088,0.01007409021,32,103754.1328,0.9979039976,0.04494233465,36.95668485
HI91,95537,10902,0.0001464843954,0.002664184431,0.9980164766,-0.03394344822,0.04957677796,-0.01355840452,-10.50000095,-2.933333397,-35.29166794,0.01564256661,0.1504326165,1.154379725,2.71,0.01564256661,0.1504326165,0.9999483824,0.001311359694,0.0001497282792,0.01007408835,32,103754.1328,0.9980200434,0.06159419553,36.93719387
HI91,95538,10912,-8.239745512e-05,0.002709960798,0.9983459711,-0.02326388098,0.02058541588,-0.01355840545,-10.68333435,-3.041666746,-35.5,0.01563372277,0.1502547413,1.154379725,2.72,0.01563372277,0.1502547413,0.9999483824,0.00130980846,0.0001496354525,0.01007408835,32,103754.1328,0.9983496525,0.03389392075,37.19724949
HI91,95539,10922,-0.0007415771252,0.002536010928,0.9983642697,0.01030323189,0.0175348185,-0.01203252934,-10.72500038,-2.975000143,-35.08333588,0.01582402177,0.1501313001,1.154379249,2.73,0.01582402177,0.1501313001,0.9999483824,0.001308714389,0.0001512852177,0.01007408649,32,103754.1328,0.9983677661,0.02363066248,36.80647654
HI91,95540,10932,-0.0002197265567,0.002682494931,0.9975402951,0.0652332902,0.01448441017,-0.01966192946,-10.58333397,-3.433333397,-35.08333588,0.01577859186,0.1502167284,1.154379487,2.74,0.01577859186,0.1502167284,0.9999483824,0.001309463987,0.0001508962741,0.01007408742,32,103754.1328,0.9975439261,0.0696546607,36.80536907
HI91,95541,10942,0.0009796143277,0.003067016602,0.9975860119,0.06981147826,0.006854924839,-0.0532312654,-10.50000095,-3.750000238,-35.08333588,0.01557896659,0.1503570974,1.154379845,2.75,0.01557896659,0.1503570974,0.9999483824,0.001310706488,0.0001491666335,0.01007408928,32,103754.1328,0.9975912075,0.08805793608,36.8124025
HI91,95542,10952,0.0001190185576,0.002984619001,0.9967529178,0.04997682944,-0.05723392591,-0.04255010933,-10.50000095,-3.625000238,-35.16666794,0.01555220783,0.1504249424,1.154379845,2.76,0.01555220783,0.1504249424,0.9999483824,0.001311300672,0.0001489390706,0.01007408928,32,103754.1328,0.9967573933,0.0870856909,36.8793327
HI91,95543,10962,-0.0008148193592,0.003158569336,0.9969452024,0.0209867619,-0.06181221828,0.01085565891,-10.72500038,-3.516666889,-34.79166794,0.0157153625,0.1505461186,1.154379487,2.77,0.0157153625,0.1505461186,0.9999483824,0.001312343986,0.000150373482,0.01007408742,32,103754.4063,0.9969505389,0.066174314,36.5766693
HI91,95544,10972,-0.0007232666248,0.002728271531,0.9979339242,0.01946150139,-0.03739671782,0.02001092769,-10.68333435,-2.975000143,-35.08333588,0.01578790136,0.1503325403,1.154379368,2.78,0.01578790136,0.1503325403,0.9999483824,0.001310473774,0.0001509877184,0.01007408649,32,103754.4063,0.9979379157,0.04666585226,36.79435711
HI91,95545,10982,-0.0008697510348,0.002087402623,0.997595191,0.04234810174,-0.02671352401,0.02001092397,-10.68333435,-3.433333397,-35.33333588,0.0159867052,0.1502013206,1.154378772,2.79,0.0159867052,0.1502013206,0.9999483824,0.00130931125,0.0001527110144,0.01007408462,32,103754.3984,0.997597754,0.05392041509,37.07244307
HI91,95546,10992,-0.0004028320836,0.002407836961,0.9982177019,0.06218248233,0.01753861643,-0.01355842128,-10.64166737,-3.166666746,-35.54166794,0.01588744484,0.1502227485,1.15437901,2.8,0.01588744484,0.1502227485,0.9999483824,0.001309506944,0.0001518467179,0.01007408556,32,103754.3984,0.9982206872,0.06601586902,37.23550755
HI91,95547,11002,0.0006408691406,0.00262756343,0.9989868402,0.07286262512,-0.02060895972,-0.04255011678,-10.93333435,-3.208333492,-35.33333588,0.01565458812,0.1500559747,1.154379725,2.81,0.01565458812,0.1500559747,0.9999483824,0.001308072126,0.0001498000638,0.01007408835,32,103754.3984,0.9989905014,0.08685737619,37.12513741
HI91,95548,11012,0.000210571292,0.002297973726,0.9981994033,-0.001906161429,-0.04502509162,-0.04560187086,-10.54166698,-2.850000143,-35.20833588,0.015753204,0.1502212733,1.154379487,2.82,0.015753204,0.1502212733,0.9999483824,0.001309505897,0.0001506751432,0.01007408742,32,103754.3984,0.9982020706,0.0641125803,36.86293747
HI91,95549,11022,-0.0002105712629,0.002838134533,0.9976501465,-0.02021545544,-0.01755986549,-0.05780890211,-10.64166737,-2.975000143,-35.20833588,0.01567285322,0.1504398435,1.154379725,2.83,0.01567285322,0.1504398435,0.9999483824,0.001311420114,0.0001499931968,0.01007408835,32,103754.3984,0.9976542057,0.063709361,36.90152606
HI91,95550,11032,0.0003936768044,0.003323364072,0.9984465837,-0.01258358359,-0.03587099165,-0.03644659743,-10.89166737,-2.850000143,-35.04166794,0.01554834191,0.1503994465,1.154379964,2.84,0.01554834191,0.1503994465,0.9999483824,0.001311078668,0.0001489031129,0.01007409021,32,103754.3984,0.9984521923,0.05266335616,36.80583392
